PLATEIFU,RA,DEC,inc,inc_err,PA,PA_err,PA_bar,PA_bar_err,R_bar,R_bar_err,R_bar_deproj_kpc,R_bar_deproj_kpc_err,redshift,nsa_elpetro_absmag_r,nsa_sersic_absmag_r,bar_type
9872-9102,234.134706786,41.7992939146,42.17825859122144,0.7049960730017233,64.30000000000001,0.6833333333333348,114.68282349484804,166.52093074827053,3.897577506975721,0.0854862205549669,3.488215106038829,0.0765076064207336,0.0413954,-22.093009799928716,-22.218109799928715,Weak bar
10505-12701,138.742506511,32.7895428219,61.42047736381298,0.8743458321584008,77.0,0.6333333333333327,101.09363282620734,146.52835160166444,3.8072237227143075,0.8421321392643322,4.567270139663121,1.0102492665102647,0.0496033,-20.938209799928714,-21.029009799928716,Strong bar
11944-12701,241.892588201,36.484048963,56.54326972404093,0.4527723217339279,123.80000000000001,1.1666666666666667,100.64503992106376,68.8496482234484,7.112890071768326,0.658533153605506,4.699036034194498,0.4350511518217096,0.029826827,-20.875337799928715,-21.369766799928716,Strong bar
8615-6104,319.901867923,0.704249718837,52.71137912278982,0.217727619549592,170.0,0.5666666666666668,121.54929668137436,170.89361171497248,6.616058764681979,0.2299732502643694,5.61618425571744,0.19521775626686133,0.0346836,-21.894909799928715,-22.183009799928715,Weak bar
11751-6101,145.267159186,34.7328785678,57.08116953741465,0.7390310061636107,117.1,0.5833333333333334,57.846720046052866,204.3471368226789,2.496011015654405,0.17913807857275565,3.1624164594757698,0.22696582853374092,0.049939964,-22.128849799928716,-22.319915799928715,Weak bar
9025-12704,246.050763599,30.162261411,52.55611907787552,0.8491326389247362,168.9,0.4333333333333333,21.029767263864414,118.59794608157398,5.847730046595506,0.1290707703876679,6.498807099554981,0.14344130667056906,0.0482447,-22.502009799928715,-22.755909799928716,Strong bar
9027-12704,245.346646891,32.3490136493,54.90061963789386,1.8717000497808087,134.3,1.5500000000000007,87.73466768128651,31.13937115039288,10.574654801505304,0.28278798944631856,9.728019580125785,0.2601472246608552,0.034659,-21.397309799928717,-21.944409799928714,Strong bar
8596-12702,230.172274476,49.1065424828,47.8922684853669,0.3615023994391677,33.19999999999999,0.5,94.12371687256166,154.3896904770011,3.468551971217962,0.14745082290212297,3.5252522343754356,0.14986119487599328,0.0383337,-22.163809799928714,-22.515009799928716,Strong bar
8597-12703,225.388973978,49.1124291187,45.96921009535637,0.434653905953926,167.5,0.6666666666666666,125.61983940290719,70.59100438185104,6.922129912915038,0.17472314252379828,4.181373374636424,0.10554304892757398,0.0259833,-21.344509799928716,-21.665909799928716,Strong bar
9867-12704,222.269418815,49.94700962,42.01114894844515,0.3959418157796079,85.80000000000001,0.6500000000000009,55.590166658849455,290.36231553123633,2.596104267581445,0.1760078258459501,1.7941351892248816,0.12163680706991364,0.0304755,-20.995309799928716,-21.095809799928716,Weak bar
